,Nombre Municipio Loc,CLUES
1411,Acatlán,HGSSA000016
1431,Acatlán,HGSSA000021
1436,Acatlán,HGSSA000033
1439,Acatlán,HGSSA000045
1441,Acatlán,HGSSA000050
1443,Acaxochitlán,HGSSA000062
1450,Acaxochitlán,HGSSA000074
1452,Acaxochitlán,HGSSA000086
1456,Acaxochitlán,HGSSA000091
1457,Acaxochitlán,HGSSA000103
1458,Acaxochitlán,HGSSA000115
1460,Acaxochitlán,HGSSA000120
1461,Acaxochitlán,HGSSA000132
1462,Acaxochitlán,HGSSA000144
1463,Actopan,HGSSA000161
1494,Actopan,HGSSA000173
1495,Actopan,HGSSA000185
1497,Actopan,HGSSA000190
1498,Actopan,HGSSA000202
1505,Actopan,HGSSA000214
1506,Actopan,HGSSA000226
1509,Actopan,HGSSA000231
1512,Actopan,HGSSA000243
1520,Actopan,HGSSA000255
1521,Agua Blanca de Iturbide,HGSSA000260
1529,Agua Blanca de Iturbide,HGSSA000272
1532,Agua Blanca de Iturbide,HGSSA000284
1535,Alfajayucan,HGSSA000330
1536,Alfajayucan,HGSSA000342
1542,Alfajayucan,HGSSA000354
1546,Alfajayucan,HGSSA000366
1550,Apan,HGSSA000383
1566,Apan,HGSSA000400
1569,Apan,HGSSA000412
1571,Apan,HGSSA000424
1572,El Arenal,HGSSA000436
1584,El Arenal,HGSSA000441
1587,El Arenal,HGSSA000453
1591,El Arenal,HGSSA000465
1595,Atitalaquia,HGSSA000470
1602,Atitalaquia,HGSSA000506
1606,Atlapexco,HGSSA000523
1630,Atlapexco,HGSSA000535
1632,Atlapexco,HGSSA000540
1637,Atlapexco,HGSSA000552
1640,Atlapexco,HGSSA000564
1641,Atlapexco,HGSSA000576
1645,Atotonilco el Grande,HGSSA000593
1651,Atotonilco el Grande,HGSSA000605
1653,Atotonilco de Tula,HGSSA000622
1691,Atotonilco de Tula,HGSSA000634
1695,Atotonilco de Tula,HGSSA000646
1698,Atotonilco de Tula,HGSSA000651
1703,Calnali,HGSSA000663
1731,Calnali,HGSSA000675
1732,Calnali,HGSSA000680
1734,Calnali,HGSSA000692
1748,Calnali,HGSSA000704
1749,Cardonal,HGSSA000716
1752,Cardonal,HGSSA000721
1754,Cardonal,HGSSA000733
1757,Cardonal,HGSSA000745
1758,Cardonal,HGSSA000750
1759,Cardonal,HGSSA000762
1763,Cardonal,HGSSA000774
1764,Cardonal,HGSSA000786
1765,Cardonal,HGSSA000791
1769,Cardonal,HGSSA000803
1776,Cardonal,HGSSA000815
1785,Cardonal,HGSSA000820
1788,Cardonal,HGSSA000832
1790,Cardonal,HGSSA000844
1795,Cardonal,HGSSA000856
1797,Cardonal,HGSSA000861
1802,Cuautepec de Hinojosa,HGSSA000873
1818,Cuautepec de Hinojosa,HGSSA000885
1821,Cuautepec de Hinojosa,HGSSA000890
1827,Cuautepec de Hinojosa,HGSSA000902
1830,Cuautepec de Hinojosa,HGSSA000914
1844,Cuautepec de Hinojosa,HGSSA000926
1865,Cuautepec de Hinojosa,HGSSA000931
1873,Cuautepec de Hinojosa,HGSSA000943
1881,Chapantongo,HGSSA000955
1908,Chapantongo,HGSSA000960
1910,Chapantongo,HGSSA000972
1913,Chapulhuacán,HGSSA000984
1953,Chapulhuacán,HGSSA000996
1955,Chapulhuacán,HGSSA001001
1960,Chapulhuacán,HGSSA001013
1961,Chapulhuacán,HGSSA001025
1971,Chapulhuacán,HGSSA001030
1972,Chapulhuacán,HGSSA001042
1974,Chilcuautla,HGSSA001054
1987,Chilcuautla,HGSSA001066
1991,Chilcuautla,HGSSA001071
1993,Chilcuautla,HGSSA001083
1998,Chilcuautla,HGSSA001095
2000,Eloxochitlán,HGSSA001100
2006,Eloxochitlán,HGSSA001112
2011,Eloxochitlán,HGSSA001124
2016,Emiliano Zapata,HGSSA001136
2038,Emiliano Zapata,HGSSA001141
2041,Emiliano Zapata,HGSSA001153
2043,Emiliano Zapata,HGSSA001165
2044,Epazoyucan,HGSSA001170
2072,Epazoyucan,HGSSA001182
2083,Epazoyucan,HGSSA001194
2096,Francisco I. Madero,HGSSA001206
2113,Francisco I. Madero,HGSSA001211
2115,Francisco I. Madero,HGSSA001223
2118,Francisco I. Madero,HGSSA001235
2123,Francisco I. Madero,HGSSA001240
2137,Huasca de Ocampo,HGSSA001252
2182,Huautla,HGSSA001264
2203,Huautla,HGSSA001276
2205,Huautla,HGSSA001281
2207,Huautla,HGSSA001293
2209,Huautla,HGSSA001305
2213,Huautla,HGSSA001310
2217,Huautla,HGSSA001322
2218,Huautla,HGSSA001334
2221,Huazalingo,HGSSA001346
2230,Huazalingo,HGSSA001351
2233,Huehuetla,HGSSA001363
2245,Huehuetla,HGSSA001375
2249,Huehuetla,HGSSA001380
2256,Huehuetla,HGSSA001392
2258,Huejutla de Reyes,HGSSA001416
2262,Huejutla de Reyes,HGSSA001421
2271,Huejutla de Reyes,HGSSA001433
2277,Huejutla de Reyes,HGSSA001445
2283,Huejutla de Reyes,HGSSA001450
2289,Huejutla de Reyes,HGSSA001462
2294,Huejutla de Reyes,HGSSA001474
2296,Huejutla de Reyes,HGSSA001486
2330,Huejutla de Reyes,HGSSA001491
2340,Huichapan,HGSSA001515
2366,Huichapan,HGSSA001520
2374,Huichapan,HGSSA001532
2377,Huichapan,HGSSA001544
2380,Huichapan,HGSSA001556
2382,Huichapan,HGSSA001561
2397,Huichapan,HGSSA001573
2402,Huichapan,HGSSA001585
2414,Ixmiquilpan,HGSSA001602
2438,Ixmiquilpan,HGSSA001614
2439,Ixmiquilpan,HGSSA001626
2440,Ixmiquilpan,HGSSA001631
2444,Ixmiquilpan,HGSSA001643
2448,Ixmiquilpan,HGSSA001655
2452,Ixmiquilpan,HGSSA001660
2459,Ixmiquilpan,HGSSA001672
2464,Ixmiquilpan,HGSSA001684
2469,Ixmiquilpan,HGSSA001696
2471,Ixmiquilpan,HGSSA001701
2473,Ixmiquilpan,HGSSA001713
2484,Ixmiquilpan,HGSSA001725
2489,Ixmiquilpan,HGSSA001730
2492,Ixmiquilpan,HGSSA001742
2500,Ixmiquilpan,HGSSA001754
2505,Ixmiquilpan,HGSSA001766
2506,Ixmiquilpan,HGSSA001771
2509,Ixmiquilpan,HGSSA001783
2515,Jacala de Ledezma,HGSSA001800
2549,Jacala de Ledezma,HGSSA001812
2550,Jacala de Ledezma,HGSSA001824
2552,Jacala de Ledezma,HGSSA001836
2554,Jaltocán,HGSSA001841
2567,Juárez Hidalgo,HGSSA001853
2570,Lolotla,HGSSA001865
2578,Lolotla,HGSSA001870
2582,Lolotla,HGSSA001882
2584,Lolotla,HGSSA001894
2590,Metepec,HGSSA001906
2602,Metztitlán,HGSSA001923
2624,Metztitlán,HGSSA001935
2638,Metztitlán,HGSSA001940
2640,Metztitlán,HGSSA001952
2642,Metztitlán,HGSSA001964
2648,Metztitlán,HGSSA001976
2658,Metztitlán,HGSSA001981
2665,Metztitlán,HGSSA001993
2671,Metztitlán,HGSSA002005
2674,Atotonilco el Grande,HGSSA002010
2686,Mineral del Chico,HGSSA002022
2691,Mineral del Chico,HGSSA002034
2698,Mineral del Chico,HGSSA002046
2700,Mineral del Chico,HGSSA002051
2706,La Misión,HGSSA002075
2733,La Misión,HGSSA002080
2741,Mixquiahuala de Juárez,HGSSA002092
2746,Mixquiahuala de Juárez,HGSSA002104
2748,Mixquiahuala de Juárez,HGSSA002116
2750,Mixquiahuala de Juárez,HGSSA002121
2752,Mixquiahuala de Juárez,HGSSA002133
2754,Mixquiahuala de Juárez,HGSSA002145
2758,Mixquiahuala de Juárez,HGSSA002150
2762,Molango de Escamilla,HGSSA002174
2778,Molango de Escamilla,HGSSA002186
2781,Molango de Escamilla,HGSSA002191
2783,Molango de Escamilla,HGSSA002203
2784,Nicolás Flores,HGSSA002215
2792,Nicolás Flores,HGSSA002220
2793,Nicolás Flores,HGSSA002232
2795,Nicolás Flores,HGSSA002244
2796,Nopala de Villagrán,HGSSA002256
