,Nombre Municipio Loc,Total Unidades
0,Acatlán,5
1,Acaxochitlán,11
2,Actopan,12
3,Agua Blanca de Iturbide,4
4,Ajacuba,3
5,Alfajayucan,6
6,Almoloya,1
7,Apan,6
8,Atitalaquia,7
9,Atlapexco,8
10,Atotonilco de Tula,5
11,Atotonilco el Grande,7
12,Calnali,5
13,Cardonal,17
14,Chapantongo,4
15,Chapulhuacán,8
16,Chilcuautla,7
17,Cuautepec de Hinojosa,11
18,El Arenal,5
19,Eloxochitlán,4
20,Emiliano Zapata,4
21,Epazoyucan,6
22,Francisco I. Madero,5
23,Huasca de Ocampo,1
24,Huautla,9
25,Huazalingo,5
26,Huehuetla,8
27,Huejutla de Reyes,19
28,Huichapan,8
29,Ixmiquilpan,22
30,Jacala de Ledezma,4
31,Jaltocán,1
32,Juárez Hidalgo,2
33,La Misión,4
34,Lolotla,4
35,Metepec,1
36,Metztitlán,11
37,Mineral de la Reforma,9
38,Mineral del Chico,5
39,Mixquiahuala de Juárez,8
40,Molango de Escamilla,5
41,Nicolás Flores,5
42,Nopala de Villagrán,6
43,Omitlán de Juárez,2
44,Pachuca de Soto,14
45,Pacula,3
46,Pisaflores,5
47,Progreso de Obregón,1
48,San Agustín Metzquititlán,1
49,San Agustín Tlaxiaca,6
50,San Bartolo Tutotepec,7
51,San Felipe Orizatlán,6
52,San Salvador,11
53,Santiago Tulantepec de Lugo Guerrero,1
54,Santiago de Anaya,7
55,Singuilucan,3
56,Tasquillo,4
57,Tecozautla,12
58,Tenango de Doria,4
59,Tepeapulco,5
60,Tepehuacán de Guerrero,17
61,Tepeji del Río de Ocampo,6
62,Tepetitlán,5
63,Tetepango,2
64,Tezontepec de Aldama,12
65,Tianguistengo,6
66,Tizayuca,5
67,Tlahuelilpan,3
68,Tlahuiltepa,4
69,Tlanalapa,2
70,Tlanchinol,15
71,Tlaxcoapan,3
72,Tolcayuca,2
73,Tula de Allende,17
74,Tulancingo de Bravo,6
75,Villa de Tezontepec,2
76,Xochiatipan,7
77,Xochicoatlán,2
78,Yahualica,8
79,Zacualtipán de Ángeles,4
80,Zapotlán de Juárez,3
81,Zempoala,3
82,Zimapán,8
